//Map No	Old Grouping	New Grouping	New Flip	1
1.1.1.100.100.100.400.300.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.300.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.320.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.320.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.350.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.350.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.360.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.360.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.400.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.400.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.410.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.410.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.420.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.420.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.430.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.430.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.440.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.450.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.450.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.451.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.600.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.600.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.601.00000.000	20.20.10.001	20.20.07.10.001		1
1.1.1.100.100.100.400.601.01000.000	20.20.10.011	20.20.07.10.011		1
1.1.1.100.100.100.400.610.00000.000	20.20.10.001	20.20.07.10.001		1
